Tub,Replicate,Species,Weight (g),Notes
1 HW,1,PHAU,3.4,
1 HW,1,EUMA,29.9,
1 HW,1,SOCA,11.2,
1 HW,1,EUOC,8,
1 HW,1,SCAC,T,
1 HW,1,SCAM,NA,
1 HW,1,DISP,0.1,
1 HW,1,MUAS,2.3,
1 HW,1,PUNU,34.4,
1 HW,1,BOMA,NA,
1 HWO,1,PHAU ,NA,
1 HWO,1,EUMA,16,
1 HWO,1,SOCA,16.9,
1 HWO,1,EUOC,8.8,
1 HWO,1,SCAC,NA,
1 HWO,1,SCAM,NA,
1 HWO,1,DISP,T,
1 HWO,1,MUAS,3,
1 HWO,1,PUNU,41,
1 HWO,1,BOMA,NA,
1 LW,1,PHAU,0.6,
1 LW,1,EUMA,27,2 bags
1 LW,1,SOCA,8.1,
1 LW,1,EUOC,6.5,
1 LW,1,SCAC,NA,
1 LW,1,SCAM,NA,
1 LW,1,DISP,0.1,
1 LW,1,MUAS,0.8,
1 LW,1,PUNU,8.2,
1 LW,1,BOMA,NA,
1 LWO,1,PHAU ,NA,
1 LWO,1,EUMA,0.2,
1 LWO,1,SOCA,8.1,
1 LWO,1,EUOC,2.4,
1 LWO,1,SCAC,T,
1 LWO,1,SCAM,NA,
1 LWO,1,DISP,NA,
1 LWO,1,MUAS,0.4,
1 LWO,1,PUNU,5,
1 LWO,1,BOMA,NA,
2 HW,1,PHAU,1.3,
2 HW,1,EUMA,2.1,
2 HW,1,SOCA,3.3,
2 HW,1,EUOC,1.8,
2 HW,1,SCAC,NA,
2 HW,1,SCAM,NA,
2 HW,1,DISP,NA,
2 HW,1,MUAS,1.8,
2 HW,1,PUNU,49.4,
2 HW,1,BOMA,NA,
2 HWO,1,EUMA,11.3,
2 HWO,1,PHAU ,NA,
2 HWO,1,SOCA,6.9,
2 HWO,1,EUOC,6.5,
2 HWO,1,SCAC,NA,
2 HWO,1,SCAM,NA,
2 HWO,1,DISP,NA,
2 HWO,1,MUAS,1.1,
2 HWO,1,PUNU,50.4,
2 HWO,1,BOMA,NA,
2 LW,1,PHAU,16,
2 LW,1,EUMA,3.9,
2 LW,1,SOCA,4.8,
2 LW,1,EUOC,2.7,
2 LW,1,SCAC,NA,
2 LW,1,SCAM,NA,
2 LW,1,DISP,NA,
2 LW,1,MUAS,2.6,
2 LW,1,PUNU,18.1,
2 LW,1,BOMA,NA,
2 LWO,1,PHAU ,NA,
